time_window,total_iterations,iterations,converged,qn_columns,deleted_qn_columns,dropped_qn_columns
406,1053,3,1,10,2,0
407,1056,3,1,10,2,0
408,1059,3,1,10,2,0
409,1062,3,1,9,3,0
410,1065,3,1,10,1,0
411,1067,2,1,10,1,0
412,1069,2,1,10,1,0
413,1071,2,1,10,1,0
414,1073,2,1,10,1,0
415,1075,2,1,10,0,1
416,1077,2,1,10,0,1
417,1079,2,1,10,1,0
418,1081,2,1,10,0,1
419,1083,2,1,10,0,1
420,1085,2,1,10,0,1
421,1087,2,1,10,1,0
422,1089,2,1,10,0,1
423,1091,2,1,10,1,0
424,1093,2,1,10,1,0
425,1095,2,1,10,0,1
426,1097,2,1,10,0,1
427,1099,2,1,10,1,0
428,1101,2,1,10,0,1
429,1103,2,1,10,0,1
430,1105,2,1,10,0,1
431,1107,2,1,10,0,1
432,1109,2,1,10,0,1
433,1111,2,1,10,0,1
434,1113,2,1,10,0,1
435,1115,2,1,10,0,1
436,1117,2,1,10,0,1
437,1119,2,1,10,0,1
438,1121,2,1,10,1,0
439,1123,2,1,10,1,0
440,1125,2,1,10,1,0
441,1127,2,1,10,1,0
442,1129,2,1,10,1,0
443,1131,2,1,10,0,1
444,1133,2,1,10,0,1
445,1135,2,1,10,1,0
446,1137,2,1,10,1,0
447,1139,2,1,10,0,1
448,1141,2,1,10,0,1
449,1143,2,1,10,0,1
450,1145,2,1,10,1,0
451,1147,2,1,10,1,0
452,1149,2,1,10,1,0
453,1151,2,1,10,0,1
454,1153,2,1,10,0,1
455,1155,2,1,10,0,1
456,1157,2,1,10,1,0
457,1159,2,1,10,0,1
458,1161,2,1,10,0,1
459,1163,2,1,10,0,1
460,1165,2,1,10,0,1
461,1167,2,1,10,1,0
462,1169,2,1,10,0,1
463,1171,2,1,10,0,1
464,1173,2,1,10,1,0
465,1175,2,1,10,0,1
466,1177,2,1,10,1,0
467,1179,2,1,10,1,0
468,1181,2,1,10,0,1
469,1183,2,1,10,1,0
470,1185,2,1,10,1,0
471,1187,2,1,10,0,1
472,1189,2,1,10,1,0
473,1191,2,1,10,1,0
474,1193,2,1,10,1,0
475,1195,2,1,10,0,1
476,1197,2,1,10,0,1
477,1199,2,1,10,0,1
478,1201,2,1,10,0,1
479,1203,2,1,10,0,1
480,1205,2,1,10,0,1
481,1207,2,1,10,0,1
482,1209,2,1,10,0,1
483,1211,2,1,10,0,1
484,1213,2,1,10,0,1
485,1215,2,1,10,0,1
486,1217,2,1,10,0,1
487,1219,2,1,10,0,1
488,1221,2,1,10,0,1
489,1223,2,1,10,0,1
490,1225,2,1,10,0,1
491,1227,2,1,10,0,1
492,1229,2,1,10,0,1
493,1231,2,1,10,0,1
494,1233,2,1,10,0,1
495,1235,2,1,10,0,1
496,1237,2,1,10,0,1
497,1239,2,1,10,0,1
498,1241,2,1,10,0,1
499,1243,2,1,10,0,1
500,1245,2,1,10,0,1
501,1247,2,1,10,0,1
502,1249,2,1,10,0,1
503,1251,2,1,10,0,1
504,1253,2,1,10,0,1
505,1255,2,1,10,0,1
506,1257,2,1,10,0,1
507,1259,2,1,10,0,1
508,1261,2,1,10,0,1
509,1263,2,1,10,0,1
510,1265,2,1,10,0,1
511,1267,2,1,10,0,1
512,1269,2,1,10,0,1
513,1271,2,1,10,0,1
514,1273,2,1,10,0,1
515,1275,2,1,10,0,1
516,1277,2,1,10,0,1
517,1279,2,1,10,0,1
518,1281,2,1,10,0,1
519,1283,2,1,10,0,1
520,1285,2,1,10,0,1
521,1287,2,1,10,0,1
522,1289,2,1,10,0,1
