time_s,ux_m,uy_m
3.330000000000000071e+00,2.267070499999999998e-05,5.982515699999999470e-04
3.339999999999999858e+00,2.265201179999999889e-05,6.035719500000000107e-04
3.350000000000000089e+00,2.263358359999999940e-05,6.088251100000000070e-04
3.359999999999999876e+00,2.261541999999999836e-05,6.140112150000000355e-04
3.370000000000000107e+00,2.259755579999999834e-05,6.191292510000000280e-04
3.379999999999999893e+00,2.258002200000000083e-05,6.241783410000000193e-04
3.390000000000000124e+00,2.256277769999999851e-05,6.291583980000000319e-04
3.399999999999999911e+00,2.254581379999999859e-05,6.340689629999999482e-04
3.410000000000000142e+00,2.252923260000000159e-05,6.389091979999999725e-04
3.419999999999999929e+00,2.251295909999999887e-05,6.436797049999999762e-04
3.430000000000000160e+00,2.249688059999999963e-05,6.483806250000000463e-04
3.439999999999999947e+00,2.248108800000000115e-05,6.530095149999999701e-04
3.450000000000000178e+00,2.246570440000000146e-05,6.575646579999999946e-04
3.459999999999999964e+00,2.245070280000000004e-05,6.620453410000000415e-04
3.470000000000000195e+00,2.243594030000000070e-05,6.664502699999999688e-04
3.479999999999999982e+00,2.242140019999999836e-05,6.707784120000000010e-04
3.490000000000000213e+00,2.240721439999999925e-05,6.750291390000000454e-04
3.500000000000000000e+00,2.239339770000000116e-05,6.792018680000000462e-04
3.509999999999999787e+00,2.237985920000000003e-05,6.832962319999999522e-04
3.520000000000000018e+00,2.236661379999999868e-05,6.873120119999999878e-04
3.529999999999999805e+00,2.235369229999999870e-05,6.912490260000000129e-04
3.540000000000000036e+00,2.234101550000000080e-05,6.951062359999999468e-04
3.549999999999999822e+00,2.232859100000000036e-05,6.988827339999999482e-04
3.560000000000000053e+00,2.231649609999999953e-05,7.025791059999999524e-04
3.569999999999999840e+00,2.230477740000000049e-05,7.061956880000000263e-04
3.580000000000000071e+00,2.229336699999999875e-05,7.097325279999999780e-04
3.589999999999999858e+00,2.228218000000000017e-05,7.131900129999999959e-04
3.600000000000000089e+00,2.227129199999999947e-05,7.165683770000000124e-04
3.609999999999999876e+00,2.226074669999999889e-05,7.198679059999999689e-04
3.620000000000000107e+00,2.225049439999999984e-05,7.230890359999999663e-04
3.629999999999999893e+00,2.224049250000000109e-05,7.262322480000000342e-04
3.640000000000000124e+00,2.223075960000000151e-05,7.292980980000000110e-04
3.649999999999999911e+00,2.222133200000000106e-05,7.322872669999999943e-04
3.660000000000000142e+00,2.221220790000000083e-05,7.352005479999999598e-04
3.669999999999999929e+00,2.220333290000000000e-05,7.380387059999999949e-04
3.680000000000000160e+00,2.219468220000000010e-05,7.408025369999999546e-04
3.689999999999999947e+00,2.218628909999999951e-05,7.434928769999999678e-04
3.700000000000000178e+00,2.217821379999999892e-05,7.461056179999999696e-04
3.709999999999999964e+00,2.217032740000000044e-05,7.486390219999999656e-04
3.720000000000000195e+00,2.216260349999999978e-05,7.510996799999999658e-04
3.729999999999999982e+00,2.215515569999999904e-05,7.534898119999999897e-04
3.740000000000000213e+00,2.214803770000000119e-05,7.558086630000000186e-04
3.750000000000000000e+00,2.214119880000000145e-05,7.580582939999999485e-04
3.759999999999999787e+00,2.213454889999999866e-05,7.602398179999999943e-04
3.770000000000000018e+00,2.212815340000000053e-05,7.623523480000000139e-04
