time_window,iteration,displacement_abs_or_rel_measure,force_relative_measure
7.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.827550960000000502e-03
7.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.967796979999999571e-03
7.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.591536450000000269e-03
7.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.018060379999999751e-03
7.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.361029450000000682e-03
7.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.068639120000000171e-03
7.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.139927109999999508e-03
7.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.117092949999999842e-03
7.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.925385450000000026e-03
7.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.165699999999999632e-03
7.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.718328200000000083e-03
7.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.212908799999999877e-03
8.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.518278310000000283e-03
8.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.257656010000000268e-03
8.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.322550160000000835e-03
8.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.301188430000000097e-03
8.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,8.141309410000000316e-03
8.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.344517810000000251e-03
8.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.958638109999999211e-03
8.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.389187929999999897e-03
8.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.789728489999999880e-03
8.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.426021419999999679e-03
8.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,4.324905510000000170e-07
8.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.621285910000000045e-03
8.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.464735370000000335e-03
8.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.463236720000000421e-03
8.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.499407900000000300e-03
8.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,7.555439409999999504e-07
8.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.310951510000000125e-03
8.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.532393870000000026e-03
8.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,5.693424339999999766e-07
8.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.166455339999999903e-03
8.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.566110689999999826e-03
8.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,7.031384469999999755e-03
8.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.598073250000000153e-03
9.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.900337989999999824e-03
9.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.628651230000000089e-03
9.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.775577560000000006e-03
9.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.654196779999999707e-03
9.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.658874020000000310e-03
9.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.678242289999999720e-03
9.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.549106120000000239e-03
9.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.702585060000000226e-03
9.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.449486580000000219e-03
9.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.724099409999999950e-03
9.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.354348729999999799e-03
9.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.745426480000000342e-03
9.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.269011209999999709e-03
9.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.763551070000000158e-03
9.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.189725870000000081e-03
9.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.779481799999999780e-03
9.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.121507729999999675e-03
9.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.796038429999999901e-03
9.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.060058279999999860e-03
9.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.811123740000000149e-03
1.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.009206040000000283e-03
1.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.824663540000000334e-03
1.010000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.961107250000000080e-03
1.010000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.834782739999999808e-03
1.020000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.926309329999999813e-03
1.020000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.841980380000000306e-03
1.030000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.891045739999999781e-03
1.030000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.847351889999999677e-03
1.040000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.872430970000000125e-03
1.040000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.848227600000000317e-03
1.050000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.851384890000000186e-03
1.050000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.848322910000000249e-03
1.060000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.847601079999999694e-03
1.060000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.843516580000000273e-03
1.070000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.842694449999999776e-03
1.070000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.837686009999999877e-03
1.080000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.850444189999999892e-03
1.080000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.826913210000000433e-03
1.090000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.861958369999999835e-03
1.090000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.813184550000000290e-03
1.100000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.883009889999999721e-03
1.100000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.797686879999999765e-03
1.110000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.911844250000000169e-03
1.110000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.778664709999999961e-03
1.120000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.946329210000000226e-03
1.120000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.757379170000000157e-03
1.130000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,5.994122079999999846e-03
1.130000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.735144000000000179e-03
1.140000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.050347430000000207e-03
1.140000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.715525719999999671e-03
1.150000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.107382990000000123e-03
1.150000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.686490469999999631e-03
1.160000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.177400809999999791e-03
1.160000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.652156149999999595e-03
1.170000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.244508680000000062e-03
1.170000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.619109940000000317e-03
1.180000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.330942289999999702e-03
1.180000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.576594820000000015e-03
1.190000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.417080999999999827e-03
1.190000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.540984409999999763e-03
1.200000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.515283840000000298e-03
1.200000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.496709909999999630e-03
1.210000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.623526549999999777e-03
1.210000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.454680150000000213e-03
1.220000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.726225140000000047e-03
1.220000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.402956670000000350e-03
1.230000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.851932580000000099e-03
1.230000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.349062929999999667e-03
1.240000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,6.971060660000000242e-03
1.240000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.298427270000000307e-03
1.250000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.108980929999999740e-03
1.250000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.238283689999999673e-03
1.260000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.244269210000000257e-03
1.260000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.179609630000000034e-03
1.270000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.398872919999999707e-03
1.270000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.118975310000000063e-03
1.280000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.549388320000000215e-03
1.280000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,5.055346159999999853e-03
1.290000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.719341670000000148e-03
1.290000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.989202950000000414e-03
1.300000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,7.882528150000000025e-03
1.300000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.917796480000000137e-03
1.310000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,8.063604749999999863e-03
1.310000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.840354590000000082e-03
1.320000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,8.243587239999999178e-03
1.320000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.766069870000000375e-03
1.330000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,8.439273190000000716e-03
1.330000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.683765420000000380e-03
1.340000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,8.635796039999999243e-03
1.340000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.598085000000000019e-03
1.350000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,8.842457030000000495e-03
1.350000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.509223360000000000e-03
1.360000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,9.054481450000000445e-03
1.360000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.413975460000000434e-03
1.370000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,9.275538340000000215e-03
1.370000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.316506979999999889e-03
1.380000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,9.504707080000000807e-03
1.380000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,4.210234260000000027e-03
1.390000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,9.737226179999999148e-03
